Well,Sample ID,Depth,Quartz,KFeldspar,Plagioclase,Quartzite,Phyllite,MRF undiff,Mafic Metamorphic RF,Shale RF,Siltstone RF,Sandstone RF,Chert,Limestone RF,Silicic Volcanic RF,Feldspathic VRF,Basaltic RF,Volcanic Glass,Plut RF undiff,Undiff ductile lithic,Muscovite,Biotite,Chlorite,Iron Oxide,Tourmaline,TiOx,Zircon,Amphibole,Opaque minerals,Clay mineral matrix,Porelining (tangential) illite,FeOs (porelinung),Quartz cement,Kfeldspar cement,Calcite,Dolomite,Fedolomite,Siderite,FeOs (porefilling),auth TiOx,porefilling Illite (radial and meshwork),Chlorite,Kaolinite,Solid hydrocarbon,Anhydrite,Gypsum,Barite,Halite,Kaolinite rp Kfeldspar,Illite rp Kaolinite,Illite rp Kfeldspar,Dolomite rp Kfeldspar,Calcite rp Kfs,Chlorite rp VRF,Intergranular porosity,Intragranular porosity (Kfeldspar),Intragranular porosity (undifferentiated),Intragranular Fracture Porosity,Porosity (%),log-transformed Permeability (mD),IGV,GTI,GTG,Grain size (mm),Sorting,Q,F,R,COPL (%),CEPL (%),,,,
Buntsandstein A+B,A_70706,1133.40,44.67,9.67,0.00,1.00,2.33,6.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.67,3.67,0.00,0.00,0.67,0.00,0.33,0.00,0.00,0.67,0.33,2.67,0.00,8.33,2.33,0.00,0.33,0.00,0.00,0.00,0.00,3.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,0.00,0.00,0.00,6.33,1.67,1.00,0.00,14.40,-0.54,24.00,24.00,61.66,0.08,0.68,68.84,15.58,15.58,27.95,12.49,,,,
Buntsandstein A+B,A_70707,1133.80,41.00,9.67,0.00,0.33,2.33,5.00,0.00,0.00,0.33,0.33,1.33,0.00,0.00,0.00,0.00,0.00,0.67,2.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,13.33,2.33,0.00,2.67,0.67,0.00,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,9.00,1.33,0.33,0.00,19.10,1.80,32.67,32.67,49.03,0.11,0.75,65.61,16.40,17.99,18.32,19.33,,,,
Buntsandstein A+B,A_70709,1134.40,52.00,8.67,0.00,1.67,3.33,3.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,2.00,6.67,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,2.33,0.00,4.00,2.33,0.00,1.67,0.00,0.00,0.00,0.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,6.00,1.00,0.33,0.00,12.90,-1.22,20.00,20.00,63.54,0.07,0.65,75.23,12.15,12.62,31.25,9.63,,,,
Buntsandstein A+B,A_fracture,1135.80,48.67,9.67,0.00,0.00,7.33,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,7.67,6.67,0.67,0.00,0.00,0.33,0.67,0.00,0.00,0.00,1.00,1.00,0.00,3.67,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.67,1.00,0.67,,,,12.67,,0.08,0.64,63.48,13.04,23.48,37.74,3.94,,,,
Buntsandstein A+B,A_70713,1142.65,44.00,8.67,0.00,1.00,2.00,4.33,0.00,0.00,0.67,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.67,0.00,3.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00,2.33,0.00,14.67,4.33,0.00,0.67,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33,0.33,0.00,0.00,0.00,6.67,1.33,0.67,0.00,15.20,-0.20,30.67,30.67,50.72,0.09,0.60,72.58,15.05,12.37,20.67,19.04,,,,
Buntsandstein A+B,A_70716,1144.10,44.00,9.00,0.00,0.33,2.33,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,2.67,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.00,1.67,0.00,17.00,4.67,0.00,1.33,0.00,0.00,0.00,0.33,1.67,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.00,0.00,0.00,4.33,1.00,0.33,0.00,17.60,0.72,33.00,33.00,44.37,0.13,0.63,72.28,15.22,12.50,17.91,23.53,,,,
Buntsandstein A+B,A_70721,1144.50,58.33,8.67,0.00,1.33,4.33,1.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.33,2.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,4.00,0.00,4.33,2.67,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,5.67,1.33,1.33,0.00,14.50,-0.04,20.00,20.00,71.06,0.16,0.58,77.83,11.74,10.43,31.54,9.59,,,,
Buntsandstein A+B,A_70725,1145.95,47.67,8.33,0.00,0.67,2.33,3.00,0.00,0.00,1.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,17.67,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.33,0.33,0.67,0.00,0.00,0.00,4.67,2.67,0.00,0.00,17.40,1.30,31.00,31.00,41.54,0.16,0.52,75.13,12.95,11.92,20.29,20.99,,,,
Buntsandstein A+B,A_70726,1146.35,41.67,11.00,0.00,1.00,1.00,3.33,0.00,0.00,1.33,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,0.00,19.00,4.67,0.00,0.33,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1.67,0.33,0.33,19.50,2.12,36.00,36.00,32.92,0.17,0.52,70.33,18.13,11.54,14.51,23.65,,,,
Buntsandstein A+B,A_70814,1525.95,53.00,7.00,0.00,2.00,0.00,4.33,0.67,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,5.00,2.67,0.00,4.33,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.33,1.00,1.33,0.00,14.30,0.41,24.67,24.67,51.31,0.23,0.59,76.04,10.60,13.36,26.99,13.38,,,,
Buntsandstein A+B,A_70818,1527.00,60.67,8.00,0.00,3.00,2.67,4.33,0.00,0.00,0.67,0.00,0.67,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67,0.67,5.00,0.33,0.00,0.33,0.00,0.00,0.33,0.00,3.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,1.33,0.67,0.00,0.00,10.10,-1.43,14.33,14.33,63.86,0.15,0.74,75.79,11.90,12.30,35.80,8.35,,,,
Buntsandstein A+B,A_70823,1528.35,50.33,8.67,0.00,3.00,0.33,2.33,1.00,0.00,0.33,1.67,0.00,0.00,0.33,0.00,0.00,0.00,1.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,6.33,0.33,0.00,3.67,0.67,0.00,0.67,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,7.33,3.33,0.33,0.67,15.30,0.67,25.67,25.67,50.41,0.25,0.61,76.92,14.42,8.65,26.01,13.57,,,,
Buntsandstein A+B,A_70824,1528.60,60.33,9.00,0.00,2.33,0.33,1.67,1.33,1.00,0.33,0.00,0.33,0.00,0.67,0.00,0.00,0.00,1.33,2.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.67,4.67,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.67,1.33,0.00,12.20,-0.96,17.00,17.00,63.31,0.20,0.56,77.69,12.81,9.50,33.73,7.73,,,,
Buntsandstein A+B,A_70826,1529.00,57.33,6.67,0.00,2.00,0.67,1.33,0.33,0.33,0.67,0.33,0.00,0.00,1.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.67,10.33,1.00,0.00,1.00,0.00,0.00,0.00,0.00,3.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,9.00,0.33,0.67,0.00,13.90,1.13,26.67,26.67,47.77,0.33,0.72,82.41,11.11,6.48,25.00,13.25,,,,
Buntsandstein A+B,A_70828,1529.60,61.67,9.00,0.00,1.33,1.00,2.00,0.33,0.33,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,1.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,3.67,1.33,0.00,2.00,0.33,0.00,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,8.00,1.33,0.33,0.33,12.70,0.28,19.67,19.67,57.40,0.28,0.66,80.77,13.25,5.98,31.54,7.99,,,,
Buntsandstein A+B,A_70830,1530.30,56.67,8.00,0.00,0.33,1.67,3.67,0.33,0.33,1.67,0.33,0.00,0.00,0.67,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.33,10.33,0.67,0.00,0.67,0.00,0.00,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,6.33,1.67,0.67,0.33,14.00,0.83,22.67,22.67,53.56,0.32,0.47,76.68,11.21,12.11,28.88,11.62,,,,
Buntsandstein A+B,A_70833,1530.95,57.33,10.33,0.00,3.00,2.67,4.00,0.67,0.00,0.67,0.00,0.33,0.00,1.00,0.00,0.00,0.00,1.00,4.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,4.00,0.00,3.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.67,0.33,0.00,0.00,7.40,-1.65,13.00,13.00,68.46,0.25,0.62,70.43,13.23,16.34,37.02,7.56,,,,
Buntsandstein A+B,A_70834,1531.15,47.00,11.67,0.00,3.00,0.33,4.00,0.33,0.00,2.33,0.67,0.33,0.00,0.33,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.67,0.67,10.67,1.67,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00,10.33,1.00,0.00,0.33,16.00,1.48,27.00,27.00,42.17,0.36,0.51,70.75,16.98,12.26,24.66,12.56,,,,
Buntsandstein A+B,A_70836,1531.55,54.00,9.67,0.00,0.67,0.33,5.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.33,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.33,2.00,6.67,0.67,0.00,1.67,0.33,0.00,0.00,0.00,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00,5.67,0.33,0.67,0.00,13.20,1.02,22.67,22.67,47.17,0.31,0.77,72.89,14.22,12.89,28.88,12.09,,,,
Buntsandstein A+B,A_70837,1531.80,48.33,12.00,0.00,2.00,0.67,2.33,0.67,0.00,1.33,0.67,1.00,0.00,0.33,0.00,0.00,0.00,2.67,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,8.00,0.67,0.00,5.00,0.00,0.00,0.33,0.00,4.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.33,0.33,15.30,1.76,27.00,27.00,52.69,0.33,0.59,69.91,20.37,9.72,24.66,15.07,,,,
Buntsandstein A+B,A_70841,1534.05,49.33,9.33,0.00,0.33,0.67,6.33,0.33,0.00,1.00,0.33,0.33,0.00,0.33,0.00,0.00,0.00,1.00,0.33,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,6.67,0.67,0.00,2.67,0.67,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,9.00,1.00,1.33,0.00,15.50,1.63,27.00,27.00,44.50,0.34,0.76,71.29,14.83,13.88,24.66,13.56,,,,
Buntsandstein A+B,A_70844,1534.70,58.67,8.33,0.00,1.33,1.33,3.67,1.00,0.00,0.67,0.00,0.67,0.00,0.00,0.00,0.00,0.00,1.00,3.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,1.33,0.00,0.00,0.67,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.33,0.00,13.00,-0.49,18.00,18.00,55.13,0.20,0.81,75.00,11.67,13.33,32.93,9.39,,,,
Buntsandstein A+B,A_70846,1535.25,51.67,7.67,0.00,1.33,0.33,5.33,1.00,0.00,1.00,1.00,1.00,0.00,0.33,0.00,0.00,0.00,0.67,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.33,0.33,0.00,0.33,0.00,0.00,0.00,0.00,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.33,0.00,0.00,0.00,8.33,1.33,1.00,0.00,20.00,1.93,23.67,23.67,46.82,0.33,0.62,73.27,11.52,15.21,27.95,11.05,,,,
Buntsandstein A+B,A_70848,1535.70,48.67,7.33,0.00,4.00,0.33,5.00,0.00,0.33,1.67,0.33,1.00,0.00,0.33,0.00,0.00,0.00,1.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,3.00,3.67,0.00,0.00,2.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,1.00,0.67,0.00,18.30,1.78,27.67,27.67,47.50,0.29,0.56,74.53,11.79,13.68,23.96,14.19,,,,
Buntsandstein A+B,A_70852,1536.65,48.00,10.33,0.00,0.33,0.00,10.00,0.33,0.00,0.67,0.67,0.00,0.00,0.67,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,8.33,1.00,0.00,0.33,0.00,0.00,0.00,0.00,6.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.33,0.67,0.33,0.33,17.80,1.98,27.33,27.33,40.77,0.34,0.63,67.76,14.95,17.29,24.31,12.87,,,,
