Model,Fold,n_train,n_test,R2,RMSE,MAE
Random Forest,1,628,157,0.801229488465,0.648524618398,0.510696178344
Random Forest,2,628,157,0.756099804911,0.75612862615,0.58077611465
Random Forest,3,628,157,0.820600828901,0.619917689677,0.483581528662
Random Forest,4,628,157,0.761312707545,0.708294300541,0.566243949045
Random Forest,5,628,157,0.734773418151,0.720015631808,0.536007324841
XGBoost,1,628,157,0.800111603029,0.650345712885,0.509135479659
XGBoost,2,628,157,0.761424396499,0.747829549885,0.582428403342
XGBoost,3,628,157,0.83296776477,0.598169079484,0.481759098399
XGBoost,4,628,157,0.783871408086,0.673992727006,0.542547083243
XGBoost,5,628,157,0.749825544789,0.699286078703,0.5340372596
LightGBM,1,628,157,0.796120838893,0.656805692459,0.51604470535
LightGBM,2,628,157,0.771622417256,0.731671842976,0.553830105446
LightGBM,3,628,157,0.812114906172,0.634409936166,0.49769848602
LightGBM,4,628,157,0.77725578545,0.684230319193,0.548178915075
LightGBM,5,628,157,0.739710313876,0.713283012372,0.539055929541
Ridge,1,628,157,0.707582507675,0.786596778353,0.642522323381
Ridge,2,628,157,0.648583491439,0.907612954892,0.720765538187
Ridge,3,628,157,0.758743728671,0.718891119888,0.58115273297
Ridge,4,628,157,0.745435757621,0.731472154414,0.574239846662
Ridge,5,628,157,0.633218578119,0.846714634216,0.674747982827
Stacking Ensemble,1,628,157,0.805466169949,0.641575923626,0.500536247088
Stacking Ensemble,2,628,157,0.771129481429,0.732461046653,0.557860082095
Stacking Ensemble,3,628,157,0.832426787822,0.599136958809,0.477186708519
Stacking Ensemble,4,628,157,0.786035493563,0.670609908884,0.541850661125
Stacking Ensemble,5,628,157,0.75045315627,0.698408380038,0.533140248569
