Model,Fold,n_train,n_test,R2,RMSE,MAE
Random Forest,1,680,170,0.805609488889,2.67029109619,2.07091058824
Random Forest,2,680,170,0.832234086205,2.99386796542,2.25467852941
Random Forest,3,680,170,0.798898120756,2.91814681037,2.16460941176
Random Forest,4,680,170,0.792539777689,2.77937741925,2.18071205882
Random Forest,5,680,170,0.784874759503,3.03483276425,2.34926147059
XGBoost,1,680,170,0.830983316333,2.48992270147,1.94742112569
XGBoost,2,680,170,0.837211637266,2.94912008937,2.16619949428
XGBoost,3,680,170,0.829003453557,2.69087015788,2.05293149045
XGBoost,4,680,170,0.814335155092,2.62932908144,2.03271821101
XGBoost,5,680,170,0.808225553557,2.86539466912,2.27916044603
LightGBM,1,680,170,0.815853855325,2.59897673699,2.05428538876
LightGBM,2,680,170,0.826595836075,3.04376094972,2.27193057347
LightGBM,3,680,170,0.825955896655,2.71474304815,2.05956977305
LightGBM,4,680,170,0.795463494686,2.75972317763,2.14400077019
LightGBM,5,680,170,0.817178396049,2.79771091414,2.17108288425
Ridge,1,680,170,0.721984024484,3.19341935353,2.57550856445
Ridge,2,680,170,0.754744885406,3.61984368141,2.92817571212
Ridge,3,680,170,0.710791620165,3.49948800298,2.75082128374
Ridge,4,680,170,0.689524639363,3.40011554245,2.783201411
Ridge,5,680,170,0.419009866111,4.98739147257,3.33941369629
Stacking Ensemble,1,680,170,0.831244679349,2.48799678069,1.95159174991
Stacking Ensemble,2,680,170,0.835666747988,2.96308087091,2.18166962375
Stacking Ensemble,3,680,170,0.82980192217,2.68458029567,2.0435734602
Stacking Ensemble,4,680,170,0.813291112521,2.63671142449,2.03671111331
Stacking Ensemble,5,680,170,0.808159941401,2.86588479866,2.27154884149
