Feature,SHAP_importance
IGP,0.725204586983
RQI_proxy,0.26092210412
Total_clay,0.174767076969
Chlorite_auth,0.166638582945
Calcite_cement,0.158015280962
log_GS,0.150450959802
Illite,0.13168169558
Clay_cement_ratio,0.120493531227
Formation_code,0.0828076675534
TiOx_auth,0.0766262114048
Qtz_detrital,0.0351217277348
IGV_pct,0.0253070853651
K_feldspar,0.0219015702605
Total_cement,0.021443374455
Qtz_cement,0.0203103516251
Quartz_index,0.0195028297603
Framework,0.0164251998067
Dolomite_cement,0.00577379949391
Kaolinite,0.00391712924466
Plagioclase_d,0.00123986462131
